iter	Passed	Remaining
0	217	21489
1	431	21128
2	432	13984
3	647	15546
4	864	16417
5	1081	16950
6	1299	17268
7	1512	17394
8	1728	17480
9	1940	17461
10	2159	17473
11	2373	17408
12	2591	17345
13	2809	17258
14	2896	16411
15	3114	16352
16	3329	16257
17	3546	16158
18	3765	16050
19	3983	15934
20	4199	15799
21	4418	15663
22	4634	15516
23	4850	15361
24	4857	14571
25	5074	14443
26	5293	14312
27	5303	13636
28	5306	12992
29	5518	12876
30	5736	12769
31	5958	12662
32	6174	12536
33	6392	12408
34	6606	12269
35	6825	12134
36	7051	12007
37	7273	11867
38	7314	11440
39	7352	11029
40	7596	10931
41	7685	10612
42	7903	10476
43	8119	10334
44	8130	9936
45	8350	9803
46	8567	9660
47	8787	9519
48	9003	9370
49	9222	9222
50	9438	9068
51	9655	8912
52	9872	8754
53	10087	8592
54	10302	8429
55	10517	8264
56	10734	8098
57	10951	7930
58	11167	7760
59	11173	7448
60	11387	7280
61	11602	7111
62	11817	6940
63	12037	6771
64	12255	6599
65	12474	6426
66	12691	6251
67	12911	6075
68	13129	5898
69	13349	5721
70	13566	5541
71	13785	5360
72	14005	5179
73	14223	4997
74	14439	4813
75	14657	4628
76	14872	4442
77	15088	4255
78	15306	4068
79	15523	3880
80	15525	3641
81	15527	3408
82	15746	3225
83	15965	3041
84	16181	2855
85	16187	2635
86	16406	2451
87	16624	2266
88	16841	2081
89	17058	1895
90	17279	1708
91	17496	1521
92	17713	1333
93	17932	1144
94	18149	955
95	18400	766
96	18616	575
97	18836	384
98	19057	192
99	19280	0
