iter	RMSE
0	647.0565304
1	624.1653745
2	600.6705042
3	577.7991274
4	557.5379016
5	537.4647507
6	519.1051947
7	501.0431771
8	483.497921
9	464.8513647
10	449.5472316
11	433.9652619
12	419.8876542
13	406.8030447
14	394.3131088
15	380.3860179
16	369.7320723
17	359.5722186
18	348.7457337
19	339.3988182
20	328.7305573
21	318.3756246
22	307.6502111
23	298.9430995
24	290.2180437
25	281.0088599
26	273.0193318
27	264.7414325
28	256.3420553
29	249.6467415
30	242.6206079
31	235.5534546
32	229.9276924
33	224.0325603
34	217.3412684
35	211.5599924
36	206.2068465
37	201.7130091
38	196.3013237
39	191.3994223
40	186.3422733
41	182.1481117
42	178.387893
43	173.9060299
44	169.8388765
45	166.1583476
46	162.5402197
47	158.7886908
48	155.2019228
49	152.728708
50	149.7277648
51	146.2215531
52	143.1869819
53	140.8242961
54	138.6253679
55	135.8927331
56	133.9164341
57	132.6952613
58	130.2639784
59	127.8237017
60	126.4423811
61	124.1198261
62	122.4404339
63	121.0954161
64	119.9601136
65	118.3569819
66	115.868499
67	114.3341137
68	112.830483
69	111.9154638
70	110.7677106
71	109.7415932
72	107.9422702
73	105.9198639
74	104.9941144
75	103.8645134
76	102.2119111
77	101.302917
78	99.4770622
79	98.66972726
80	97.77177302
81	96.56247146
82	95.80579222
83	95.11513386
84	93.88332703
85	93.36935207
86	92.63026845
87	91.8476315
88	91.0519309
89	90.02794494
90	88.60079539
91	87.91724845
92	86.89090093
93	86.2827011
94	85.56768349
95	84.39764183
96	83.75960508
97	83.16704685
98	82.11918116
99	81.24496424
100	80.62868238
101	79.84478172
102	79.23440028
103	78.68697234
104	77.76124507
105	76.68986154
106	75.63676788
107	75.1421403
108	74.61607331
109	73.67438353
110	73.23341522
111	72.5729867
112	71.88342368
113	71.44333164
114	71.00105839
115	70.50125096
116	69.90589586
117	68.82265522
118	67.8242872
119	67.40294027
120	66.83269788
121	66.01835509
122	65.41522687
123	64.98063683
124	64.40629874
125	63.679664
126	63.28040793
127	62.90623005
128	62.55008507
129	62.18274181
130	61.30759391
131	60.52723209
132	60.1914821
133	59.84470584
