iter	Passed	Remaining
0	44	22080
1	84	21013
2	125	20714
3	159	19804
4	193	19132
5	228	18851
6	254	17926
7	289	17773
8	318	17370
9	341	16723
10	374	16634
11	411	16731
12	447	16779
13	488	16969
14	527	17065
15	549	16622
16	582	16542
17	606	16227
18	637	16144
19	662	15895
20	696	15887
21	735	15974
22	764	15851
23	799	15865
24	835	15872
25	869	15859
26	904	15842
27	938	15823
28	978	15885
29	1009	15814
30	1044	15806
31	1078	15768
32	1116	15798
33	1154	15828
34	1190	15814
35	1231	15878
36	1256	15722
37	1296	15764
38	1332	15750
39	1368	15734
40	1403	15716
41	1437	15676
42	1471	15637
43	1500	15549
44	1534	15514
45	1568	15477
46	1604	15464
47	1638	15428
48	1676	15427
49	1715	15437
50	1750	15408
51	1780	15343
52	1805	15227
53	1822	15056
54	1855	15012
55	1889	14984
56	1925	14967
57	1962	14952
58	1995	14912
59	2020	14820
60	2054	14788
61	2090	14766
62	2128	14763
63	2229	15191
64	2274	15220
65	2314	15220
66	2349	15184
67	2390	15186
68	2430	15181
69	2456	15089
70	2494	15070
71	2533	15058
72	2571	15043
73	2607	15009
74	2639	14959
75	2674	14918
76	2710	14888
77	2746	14856
78	2782	14827
79	2803	14718
80	2834	14662
81	2848	14521
82	2884	14491
83	2913	14427
84	2947	14388
85	2980	14346
86	3009	14286
87	3038	14224
88	3069	14173
89	3105	14145
90	3142	14124
91	3183	14117
92	3219	14089
93	3254	14056
94	3292	14035
95	3337	14045
96	3379	14039
97	3411	13992
98	3449	13973
99	3491	13966
100	3533	13959
101	3573	13941
102	3612	13925
103	3637	13851
104	3674	13823
105	3717	13817
106	3758	13804
107	3798	13788
108	3838	13767
109	3872	13730
110	3910	13704
111	3958	13714
112	4010	13734
113	4055	13732
114	4103	13738
115	4145	13723
116	4183	13694
117	4219	13658
118	4254	13622
119	4292	13591
120	4326	13551
121	4363	13520
122	4399	13483
123	4435	13449
124	4470	13410
125	4517	13407
126	4552	13369
127	4586	13330
128	4622	13293
129	4656	13251
130	4690	13212
131	4725	13172
132	4762	13140
133	4796	13100
134	4830	13059
135	4865	13021
136	4903	12991
137	4943	12967
138	4982	12941
139	5011	12885
140	5047	12851
141	5083	12815
142	5115	12770
143	5152	12738
144	5193	12715
145	5233	12689
146	5270	12656
147	5312	12634
148	5355	12615
149	5389	12575
150	5425	12539
151	5476	12539
152	5512	12501
153	5549	12469
154	5588	12439
155	5624	12403
156	5656	12358
157	5692	12321
158	5729	12288
159	5765	12250
160	5802	12218
